Population,State,City
2177,Alabama,Ashford
1926,Alabama,Ashland
57970,Alabama,Auburn
1124,Alabama,Berry
5111,Alabama,Childersburg
607,Alabama,Courtland
7240,Alabama,Demopolis
1015,Alabama,Eclectic
28145,Alabama,Enterprise
2871,Alabama,Eutaw
16847,Alabama,Fairhope
15615,Alabama,Foley
36610,Alabama,Gadsden
4501,Alabama,Geneva
5222,Alabama,Glencoe
8388,Alabama,Guntersville
3173,Alabama,Hanceville
184738,Alabama,Huntsville
12452,Alabama,Irondale
14185,Alabama,Jasper
2982,Alabama,Lafayette
2092,Alabama,Level Plains
2476,Alabama,Midland City
250557,Alabama,Mobile
13431,Alabama,Muscle Shoals
6661,Alabama,Oneonta
6698,Alabama,Opp
22199,Alabama,Pelham
9683,Alabama,Rainbow City
1940,Alabama,Samson
1755,Alabama,Sardis City
4175,Alabama,Springville
248,Alabama,Sweet Water
12762,Alabama,Sylacauga
6323,Alabama,Tarrant
2425,Alabama,Taylor
20235,Alabama,Trussville
6463,Alaska,Bethel
985,Alaska,Bristol Bay Borough
2273,Alaska,Cordova
1263,Alaska,Craig
2438,Alaska,Dillingham
32505,Alaska,Fairbanks
2561,Alaska,Haines
5309,Alaska,Homer
32946,Alaska,Juneau
7422,Alaska,Kenai
8305,Alaska,Ketchikan
6564,Alaska,Kodiak
3375,Alaska,Kotzebue
3805,Alaska,Nome
2236,Alaska,North Pole
9674,Alaska,North Slope Borough
6453,Alaska,Palmer
2981,Alaska,Petersburg
2749,Alaska,Seward
9093,Alaska,Sitka
956,Alaska,Skagway
4418,Alaska,Soldotna
4340,Alaska,Unalaska
4032,Alaska,Valdez
8645,Alaska,Wasilla
220,Alaska,Whittier
2414,Alaska,Wrangell
5077,Arizona,Benson
5463,Arizona,Bisbee
55710,Arizona,Buckeye
39577,Arizona,Bullhead City
10942,Arizona,Camp Verde
50058,Arizona,Casa Grande
248718,Arizona,Chandler
10850,Arizona,Chino Valley
4090,Arizona,Clarkdale
11820,Arizona,Coolidge
11285,Arizona,Cottonwood
17602,Arizona,Eloy
1318,Arizona,Fredonia
7414,Arizona,Globe
4988,Arizona,Holbrook
1811,Arizona,Huachuca City
28400,Arizona,Kingman
52891,Arizona,Lake Havasu City
1473,Arizona,Mammoth
37469,Arizona,Marana
1793,Arizona,Miami
20736,Arizona,Nogales
41493,Arizona,Oro Valley
7330,Arizona,Page
13286,Arizona,Paradise Valley
15192,Arizona,Payson
161641,Arizona,Peoria
4266,Arizona,Pinetop-Lakeside
39209,Arizona,Prescott Valley
3648,Arizona,Quartzsite
9471,Arizona,Safford
26535,Arizona,Sahuarita
28231,Arizona,San Luis
10036,Arizona,Sedona
10732,Arizona,Show Low
9651,Arizona,Snowflake-Taylor
15014,Arizona,Somerton
5694,Arizona,South Tucson
2009,Arizona,Springerville
122497,Arizona,Surprise
4999,Arizona,Thatcher
6583,Arizona,Wickenburg
3678,Arizona,Willcox
3019,Arizona,Williams
9326,Arizona,Winslow
5484,Arkansas,Alma
10829,Arkansas,Arkadelphia
346,Arkansas,Arkansas City
4616,Arkansas,Ashdown
1069,Arkansas,Ash Flat
3036,Arkansas,Atkins
2149,Arkansas,Augusta
2701,Arkansas,Austin
2931,Arkansas,Bald Knob
4733,Arkansas,Barling
1825,Arkansas,Bay
930,Arkansas,Bearden
7744,Arkansas,Beebe
27606,Arkansas,Bella Vista
32548,Arkansas,Benton
15220,Arkansas,Blytheville
2153,Arkansas,Bono
3922,Arkansas,Booneville
768,Arkansas,Bradford
3024,Arkansas,Brinkley
1863,Arkansas,Brookland
19366,Arkansas,Bryant
1975,Arkansas,Bull Shoals
622,Arkansas,Caddo Valley
11726,Arkansas,Camden
760,Arkansas,Cammack Village
1279,Arkansas,Caraway
2210,Arkansas,Carlisle
1881,Arkansas,Cave City
2060,Arkansas,Cave Springs
10377,Arkansas,Centerton
2532,Arkansas,Charleston
4613,Arkansas,Cherokee Village
1576,Arkansas,Clarendon
9319,Arkansas,Clarksville
2561,Arkansas,Clinton
64060,Arkansas,Conway
3254,Arkansas,Corning
954,Arkansas,Cotter
5383,Arkansas,Crossett
2370,Arkansas,Danville
4672,Arkansas,Dardanelle
1766,Arkansas,Decatur
6636,Arkansas,De Queen
2775,Arkansas,Dermott
1657,Arkansas,Des Arc
591,Arkansas,De Valls Bluff
3259,Arkansas,De Witt
1274,Arkansas,Diaz
1126,Arkansas,Dierks
1393,Arkansas,Dover
